actions,boundary,bytes,cli_first_refresh_ms,client_cpu_ms,columns,columns_returned,cpu_ms,digest,first_fetch_ms,first_fetch_rx_bytes,first_result_refresh_ms,frames,image,image_id,iteration,loop_delays_over_16_7_ms,loop_delays_over_50_ms,max_loop_delay_ms,maxrss_kib,objects,one_core_cpu_percent,one_way_delay_ms,p95_loop_delay_ms,parent_cpu_ms,parent_ready_ms,pattern,process_cpu_ms,provider,pty_bytes,routines,rows,rows_returned,rx_bytes,scenario,source_sha,suggestions,suite,tables,terminal_bytes,trial,truncated,tx_bytes,variant,wall_ms,watchdog_events,worker_reported_ms
,,,,,,,1770.50345,,,,,1,,,,1,1,1786.3314419993185,120684,,98.99109025340847,,1518.5258083494948,,,,,,,5000,,,,autocomplete_5000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,18297,8,,,baseline,1788.548288000129,0,
,,,,,,,20.667350000000027,,,,,1,,,,1,0,19.67578199957643,116104,,99.6962179805116,,16.818726299534312,,,,,,,1000,,,,autocomplete_1000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,18297,8,,,candidate,20.730324999931327,0,
,,,,,,,32.522361,,,,,1,,,,1,0,30.335186999873258,121864,,99.71872897255383,,25.868834699867865,,,,,,,5000,,,,autocomplete_5000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,20541,8,,,candidate,32.61409500009904,0,
,,,,,6,,20.377727999999983,,,,8.768450999923516,4,,,,0,0,8.09487100024853,123220,,54.236999422329795,,7.888434699925709,,,,,,,,1000,,,render_1000_6_normal,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,render,,46785,0,,,bulk,37.57163599948399,0,
,,,,,6,,36.98505000000002,,,,68.38561800032039,5,,,,1,0,22.567492999878596,134868,,35.23205547466254,,15.217140500335516,,,,,,,,10000,,,render_10000_6_normal,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,render,,55138,0,,,bulk,104.97556699920096,0,
30,,,,,,,337.38985099999996,,,,,60,,,,0,0,11.341952000402669,136148,,66.29146422732815,,10.33218940030565,,,,,,,,,,,scroll_30,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,render,,911474,0,,,bulk,508.9491610006007,0,
,,,,,,,13.950955999999959,,,,,2,,,,0,0,12.70924099946569,140756,,99.57779055207861,,10.883473399571807,,,,,,,,,,,filter_open_10000,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,render,,28981,0,,,bulk,14.010107999638421,0,
,,,,,,,41.80543399999992,,,,,4,,,,1,0,17.2743320000518,142804,,71.95025186980845,,12.99521920020197,,,,,,,,,,,filter_search_10000,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,render,,52892,0,,,bulk,58.10324899994157,0,
,,,,,,,53.56708600000004,,,,,5,,,,1,0,26.916036999973585,145340,,80.08112957202104,,21.435627100090635,,,,,,,,,,,filter_close_10000,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,render,,54303,0,,,bulk,66.8910220001635,0,
,,,,,6,,124.8442299999999,,,,122.80180499965354,6,,,,1,1,87.7786450001804,192564,,98.74166147041012,,66.25548220010381,,,,,,,,50000,,,render_50000_6_normal,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,render,,77109,0,,,bulk,126.43521300014982,0,
